order_id,customer_id,product_id,quantity,order_ts,status
1,201,31,,2024-09-12 20:56:02,COMPLETED
2,202,40,,2024-02-06 06:25:54,COMPLETED
3,203,16,,2024-03-28 05:48:09,COMPLETED
4,204,2,-4,2024-04-05 02:05:52,CANCELLED
5,205,5,-1,2024-06-09 22:52:12,COMPLETED
6,206,13,,2024-07-10 23:55:45,COMPLETED
7,207,1,,2024-10-29 07:24:14,COMPLETED
8,208,34,-4,2024-01-20 12:04:09,COMPLETED
9,209,30,-5,2024-11-07 05:44:38,COMPLETED
10,210,36,,2024-05-03 05:25:52,CANCELLED
11,211,40,-5,2024-06-14 17:30:43,COMPLETED
12,212,29,,2024-10-15 19:22:15,COMPLETED
13,213,17,,2024-11-22 04:05:22,COMPLETED
14,214,34,-1,2024-08-31 09:43:07,COMPLETED
15,215,5,-5,2024-04-01 01:38:18,COMPLETED
16,216,35,,2024-02-23 17:44:23,COMPLETED
17,217,10,-4,2024-01-25 22:39:22,COMPLETED
18,218,35,-1,2024-06-10 11:17:48,COMPLETED
19,219,25,-5,2024-09-27 02:44:38,COMPLETED
20,220,37,,2024-07-04 05:46:24,COMPLETED
21,221,20,,2024-11-27 10:42:41,COMPLETED
22,222,35,,2024-11-06 15:18:42,COMPLETED
23,223,32,-5,2024-04-15 23:56:29,COMPLETED
24,224,25,,2024-09-16 18:21:14,COMPLETED
25,225,11,,2024-12-23 02:44:56,COMPLETED
26,226,35,,2024-12-18 05:11:22,COMPLETED
27,227,2,,2024-09-06 14:51:39,COMPLETED
28,228,12,,2024-04-11 00:49:57,COMPLETED
29,229,30,-3,2024-05-11 01:43:59,COMPLETED
30,230,18,,2024-04-07 23:20:27,COMPLETED
31,231,2,-1,2024-01-21 05:28:22,CANCELLED
32,232,15,,2024-10-30 09:37:11,CANCELLED
33,233,2,-5,2024-03-18 10:10:34,COMPLETED
34,234,10,,2024-02-19 00:27:53,COMPLETED
35,235,37,-3,2024-06-29 14:25:51,COMPLETED
36,236,24,-2,2024-08-23 07:19:45,COMPLETED
37,237,8,,2024-04-30 19:05:34,COMPLETED
38,238,20,-1,2024-09-20 01:20:03,CANCELLED
39,239,26,,2024-01-30 12:20:18,COMPLETED
40,240,16,-4,2024-09-27 18:18:35,COMPLETED
41,241,39,,2024-11-05 05:22:31,CANCELLED
42,242,23,,2024-06-15 08:46:20,COMPLETED
43,243,33,,2024-01-05 21:55:35,COMPLETED
44,244,7,-3,2024-05-20 15:50:13,COMPLETED
45,245,10,-2,2024-03-09 09:42:55,COMPLETED
46,246,18,,2024-11-09 20:57:45,CANCELLED
47,247,31,-1,2024-06-18 03:50:54,COMPLETED
48,248,18,-5,2024-11-26 18:32:31,COMPLETED
49,249,18,-3,2024-04-04 16:58:19,COMPLETED
50,250,40,,2024-05-10 15:26:37,COMPLETED
51,251,12,,2024-03-23 09:06:01,COMPLETED
52,252,22,-5,2024-12-07 21:10:36,COMPLETED
53,253,36,-1,2024-07-19 15:18:53,CANCELLED
54,254,16,-5,2024-07-08 17:52:32,COMPLETED
55,255,31,,2024-06-23 01:17:22,COMPLETED
56,256,19,,2024-06-06 01:17:30,COMPLETED
57,257,38,,2024-07-02 19:06:26,COMPLETED
58,258,28,-1,2024-05-08 11:11:54,COMPLETED
59,259,18,-1,2024-04-07 15:15:07,COMPLETED
60,260,13,-1,2024-02-16 10:19:51,COMPLETED
61,261,12,-2,2024-03-25 00:51:03,COMPLETED
62,262,38,,2024-08-19 18:29:34,COMPLETED
63,263,13,-4,2024-03-29 08:17:48,COMPLETED
64,264,1,-4,2024-02-19 03:50:19,COMPLETED
65,265,36,,2024-09-27 20:24:04,CANCELLED
66,266,32,,2024-12-04 22:20:15,COMPLETED
67,267,31,,2024-06-20 01:28:00,COMPLETED
68,268,17,,2024-02-14 07:22:09,COMPLETED
69,269,32,,2024-08-12 02:13:37,COMPLETED
70,270,10,,2024-11-11 00:23:31,COMPLETED
71,271,6,,2024-02-16 00:02:54,COMPLETED
72,272,39,-5,2024-11-03 02:14:19,COMPLETED
73,273,34,,2024-06-23 23:05:56,CANCELLED
74,274,38,-5,2024-04-28 14:21:00,COMPLETED
75,275,40,,2024-10-23 05:13:30,COMPLETED
76,276,17,,2024-03-01 23:52:41,COMPLETED
77,277,5,,2024-01-02 00:56:22,COMPLETED
78,278,39,,2024-04-23 02:44:00,COMPLETED
79,279,19,,2024-01-28 15:26:36,COMPLETED
80,280,38,-3,2024-06-14 02:34:56,COMPLETED
81,281,10,-1,2024-11-17 00:45:39,COMPLETED
82,282,11,-5,2024-08-19 02:12:44,COMPLETED
83,283,19,,2024-02-18 07:03:36,COMPLETED
84,284,26,,2024-07-13 08:44:19,COMPLETED
85,285,6,,2024-01-16 11:31:45,COMPLETED
86,286,21,,2024-04-07 05:35:52,COMPLETED
87,287,37,-1,2024-01-09 01:21:41,CANCELLED
88,288,18,,2024-01-16 14:59:10,COMPLETED
89,289,31,,2024-09-10 00:30:30,COMPLETED
90,290,12,-4,2024-06-18 06:44:33,COMPLETED
91,291,6,-1,2024-05-15 03:13:55,COMPLETED
92,292,7,,2024-05-08 01:59:34,COMPLETED
93,293,19,-1,2024-11-11 22:59:06,COMPLETED
94,294,30,,2024-05-02 03:30:44,COMPLETED
95,295,26,,2024-11-16 08:52:43,CANCELLED
95,295,26,,2024-11-16 08:52:43,CANCELLED
96,296,35,-3,2024-06-09 11:44:47,COMPLETED
97,297,24,-2,2024-10-20 18:33:40,COMPLETED
98,298,4,,2024-04-13 17:08:40,COMPLETED
99,299,29,,2024-02-17 03:46:23,COMPLETED
100,300,39,-1,2024-10-02 15:39:19,COMPLETED
101,142,1,-3,2024-06-07 10:44:55,COMPLETED
102,30,30,,2024-09-08 13:05:30,COMPLETED
103,128,19,,2024-09-30 22:54:46,COMPLETED
104,124,31,-2,2024-06-26 09:33:30,COMPLETED
105,99,13,-2,2024-07-16 09:08:54,COMPLETED
106,35,5,-4,2024-10-27 01:51:15,COMPLETED
