customer_id,name,country,signup_date
1,Customer_1,ES,2023-01-26
2,Customer_2,DE,2023-09-08
3,Customer_3,FR,2023-05-23
4,Customer_4,ES,2024-11-23
5,Customer_5,ES,2024-08-27
6,Customer_6,PT,2023-02-02
7,Customer_7,ES,2023-04-06
8,Customer_8,FR,2023-08-27
9,Customer_9,ES,2024-07-28
10,Customer_10,FR,2024-10-27
11,Customer_11,PT,2023-08-14
12,Customer_12,PT,2024-08-26
13,Customer_13,DE,2023-01-07
14,Customer_14,FR,2024-12-15
15,Customer_15,PT,2023-12-15
16,Customer_16,DE,2023-06-09
17,Customer_17,FR,2023-12-11
18,Customer_18,ES,2023-04-05
19,Customer_19,PT,2023-04-10
20,Customer_20,DE,2023-12-19
21,Customer_21,DE,2023-02-14
22,Customer_22,PT,2024-07-03
23,Customer_23,ES,2024-01-23
24,Customer_24,ES,2024-07-19
25,Customer_25,DE,2024-10-05
26,Customer_26,DE,2024-08-14
27,Customer_27,FR,2024-12-22
28,Customer_28,ES,2023-02-16
29,Customer_29,FR,2023-10-24
30,Customer_30,ES,2023-08-27
31,Customer_31,ES,2024-01-25
32,Customer_32,DE,2024-04-09
33,Customer_33,DE,2023-06-16
34,Customer_34,DE,2023-12-30
35,Customer_35,FR,2024-11-17
36,Customer_36,DE,2024-12-19
37,Customer_37,ES,2024-09-15
38,Customer_38,FR,2024-06-30
39,Customer_39,FR,2023-06-17
40,Customer_40,PT,2024-01-24
41,Customer_41,DE,2024-10-17
42,Customer_42,FR,2024-12-02
43,Customer_43,DE,2023-02-27
44,Customer_44,FR,2023-02-02
45,Customer_45,DE,2024-02-15
46,Customer_46,DE,2023-03-09
47,Customer_47,FR,2024-08-03
48,Customer_48,DE,2023-08-06
49,Customer_49,PT,2024-02-10
50,Customer_50,PT,2023-05-27
51,Customer_51,DE,2023-05-23
52,Customer_52,FR,2024-07-28
53,Customer_53,DE,2024-08-21
54,Customer_54,PT,2024-08-20
55,Customer_55,PT,2024-01-06
56,Customer_56,FR,2023-05-22
57,Customer_57,PT,2023-04-04
58,Customer_58,ES,2023-04-23
59,Customer_59,FR,2024-10-04
60,Customer_60,FR,2024-11-27
61,Customer_61,PT,2024-09-02
62,Customer_62,ES,2024-01-30
63,Customer_63,PT,2024-09-02
64,Customer_64,PT,2024-06-25
65,Customer_65,DE,2024-07-20
66,Customer_66,ES,2024-11-27
67,Customer_67,ES,2024-11-29
68,Customer_68,DE,2024-10-18
69,Customer_69,DE,2023-04-25
70,Customer_70,DE,2024-03-21
71,Customer_71,FR,2024-04-09
72,Customer_72,ES,2023-09-27
73,Customer_73,FR,2024-06-03
74,Customer_74,ES,2024-10-02
75,Customer_75,DE,2024-10-16
76,Customer_76,FR,2023-06-06
77,Customer_77,DE,2023-06-15
78,Customer_78,ES,2024-09-05
79,Customer_79,DE,2024-05-15
80,Customer_80,ES,2023-04-25
81,Customer_81,DE,2023-11-11
82,Customer_82,FR,2023-03-01
83,Customer_83,FR,2024-08-03
84,Customer_84,ES,2023-03-29
85,Customer_85,PT,2023-03-12
86,Customer_86,FR,2023-05-12
87,Customer_87,PT,2024-07-16
88,Customer_88,FR,2023-09-29
89,Customer_89,PT,2023-08-05
90,Customer_90,FR,2024-12-31
91,Customer_91,DE,2024-02-13
92,Customer_92,DE,2024-03-24
93,Customer_93,PT,2023-05-04
94,Customer_94,FR,2023-08-19
95,Customer_95,ES,2023-12-13
96,Customer_96,ES,2024-08-25
97,Customer_97,FR,2024-08-25
98,Customer_98,FR,2023-01-08
99,Customer_99,ES,2024-12-25
100,Customer_100,ES,2023-08-23
101,Customer_101,ES,2023-02-02
102,Customer_102,DE,2023-03-14
103,Customer_103,FR,2023-10-13
104,Customer_104,PT,2023-08-08
105,Customer_105,FR,2024-08-07
106,Customer_106,PT,2023-09-06
107,Customer_107,PT,2024-02-21
108,Customer_108,FR,2023-04-07
109,Customer_109,ES,2024-11-05
110,Customer_110,PT,2023-12-29
111,Customer_111,PT,2024-02-25
112,Customer_112,PT,2023-02-25
113,Customer_113,ES,2023-03-04
114,Customer_114,PT,2023-12-14
115,Customer_115,ES,2023-09-12
116,Customer_116,FR,2023-07-14
117,Customer_117,PT,2023-05-24
118,Customer_118,PT,2023-07-07
119,Customer_119,DE,2024-04-18
120,Customer_120,FR,2023-03-19
121,Customer_121,PT,2024-07-17
122,Customer_122,ES,2023-02-21
123,Customer_123,ES,2023-04-06
124,Customer_124,FR,2023-06-20
125,Customer_125,PT,2024-05-12
126,Customer_126,PT,2023-08-07
127,Customer_127,PT,2023-03-02
128,Customer_128,FR,2024-01-24
129,Customer_129,ES,2024-02-04
130,Customer_130,DE,2024-04-10
131,Customer_131,DE,2024-03-09
132,Customer_132,PT,2023-06-08
133,Customer_133,FR,2023-10-31
134,Customer_134,FR,2023-03-01
135,Customer_135,ES,2023-11-18
136,Customer_136,ES,2023-02-21
137,Customer_137,PT,2024-05-29
138,Customer_138,FR,2023-02-28
139,Customer_139,ES,2023-07-10
140,Customer_140,ES,2024-09-01
141,Customer_141,ES,2024-11-22
142,Customer_142,FR,2024-02-18
143,Customer_143,ES,2024-08-06
144,Customer_144,FR,2024-08-15
145,Customer_145,ES,2024-09-26
146,Customer_146,ES,2024-03-05
147,Customer_147,DE,2023-09-25
148,Customer_148,FR,2024-11-16
149,Customer_149,DE,2023-09-02
150,Customer_150,DE,2024-02-10
151,Customer_151,FR,2024-11-18
152,Customer_152,DE,2024-04-13
153,Customer_153,DE,2023-03-16
154,Customer_154,ES,2024-04-14
155,Customer_155,ES,2023-03-17
156,Customer_156,FR,2024-06-02
157,Customer_157,DE,2023-05-16
158,Customer_158,DE,2023-03-12
159,Customer_159,FR,2024-01-14
160,Customer_160,DE,2023-06-11
161,Customer_161,PT,2024-07-10
162,Customer_162,DE,2024-09-18
163,Customer_163,ES,2024-11-14
164,Customer_164,DE,2024-11-10
165,Customer_165,ES,2023-05-18
166,Customer_166,DE,2023-04-29
167,Customer_167,ES,2024-07-20
168,Customer_168,FR,2023-10-06
169,Customer_169,DE,2024-09-11
170,Customer_170,FR,2023-12-18
171,Customer_171,FR,2024-12-04
172,Customer_172,DE,2024-06-01
173,Customer_173,PT,2023-09-15
174,Customer_174,ES,2023-04-05
175,Customer_175,PT,2023-10-11
176,Customer_176,ES,2023-01-04
177,Customer_177,DE,2023-05-14
178,Customer_178,DE,2023-06-15
179,Customer_179,PT,2024-07-18
180,Customer_180,PT,2024-07-28
181,Customer_181,ES,2023-04-25
182,Customer_182,ES,2024-12-08
183,Customer_183,FR,2024-07-12
184,Customer_184,ES,2024-01-14
185,Customer_185,FR,2024-03-16
186,Customer_186,FR,2023-02-12
187,Customer_187,DE,2024-01-09
188,Customer_188,ES,2024-01-02
189,Customer_189,FR,2024-11-29
190,Customer_190,FR,2024-11-13
191,Customer_191,ES,2023-12-29
192,Customer_192,PT,2024-09-27
193,Customer_193,FR,2023-08-31
194,Customer_194,FR,2023-07-01
195,Customer_195,PT,2023-01-26
196,Customer_196,FR,2023-12-07
197,Customer_197,PT,2024-11-16
198,Customer_198,FR,2023-10-01
199,Customer_199,FR,2024-12-19
200,Customer_200,ES,2024-01-27
