product_id,name,category,unit_price
1,Product_1,books,129.5
2,Product_2,books,33.94
3,Product_3,toys,55.7
4,Product_4,books,37.32
5,Product_5,food,33.0
6,Product_6,toys,45.4
7,Product_7,books,145.2
8,Product_8,toys,55.92
9,Product_9,food,62.95
10,Product_10,food,53.02
11,Product_11,books,21.72
12,Product_12,toys,30.89
13,Product_13,toys,10.55
14,Product_14,food,68.01
15,Product_15,food,119.03
16,Product_16,toys,92.9
17,Product_17,food,21.77
18,Product_18,food,32.56
19,Product_19,books,107.77
20,Product_20,books,80.39
21,Product_21,food,104.59
22,Product_22,food,111.87
23,Product_23,books,57.81
24,Product_24,books,142.59
25,Product_25,toys,95.36
26,Product_26,food,127.96
27,Product_27,food,135.51
28,Product_28,food,49.85
29,Product_29,toys,52.3
30,Product_30,food,47.87
31,Product_31,books,32.82
32,Product_32,food,141.35
33,Product_33,food,113.48
34,Product_34,books,94.25
35,Product_35,toys,63.88
36,Product_36,books,49.06
37,Product_37,books,67.33
38,Product_38,food,92.97
39,Product_39,toys,72.42
40,Product_40,toys,102.97
